data,producte,categoria,quantitat,preu
2024-01-03,Pa,Alimentació,12,1.20
2024-02-10,Arròs,Alimentació,8,2.50
2024-03-15,Pasta,Alimentació,15,1.80
2024-04-20,Llet,Alimentació,10,1.30
2024-05-25,Ou,Alimentació,6,0.90
2024-06-12,Formatge,Alimentació,9,3.50
2024-07-18,Carn de pollastre,Alimentació,5,7.20
2024-08-09,Peix,Alimentació,3,10.50
2024-09-05,Iogurt,Alimentació,14,1.00
2024-10-01,Aigua,Begudes,20,0.60
2024-11-11,Suc de taronja,Begudes,12,1.50
2024-12-14,Coca-Cola,Begudes,15,1.80
2024-01-20,Cervesa,Begudes,10,2.30
2024-02-08,Vi,Begudes,8,5.00
2024-03-25,Cafè,Begudes,6,3.90
2024-04-30,Te,Begudes,9,2.50
2024-05-07,Gel de dutxa,Higiene,5,4.50
2024-06-14,Xampú,Higiene,7,5.20
2024-07-22,Desodorant,Higiene,6,3.00
2024-08-05,Raspall de dents,Higiene,10,2.80
2024-09-13,Pasta de dents,Higiene,12,3.50
2024-10-19,Sabó de mans,Higiene,8,2.10
2024-11-27,Detergent,Netedat,6,6.90
2024-12-30,Esponja,Netedat,10,1.20
2024-01-15,Paper WC,Netedat,20,0.80
2024-02-23,Fregall,Netedat,8,1.50
2024-03-10,Lleva-taques,Netedat,5,4.00
2024-04-28,Auriculars,Electrònica,3,29.90
2024-05-17,Rellotge intel·ligent,Electrònica,2,99.90
2024-06-21,Teclat,Electrònica,4,45.00
2024-07-04,Ratolí,Electrònica,5,25.00
2024-08-29,Monitor,Electrònica,2,150.00
2024-09-16,Mòbil,Electrònica,1,599.00
2024-10-09,Samarreta,Moda,8,12.50
2024-11-03,Pantalons,Moda,6,24.90
2024-12-20,Jaqueta,Moda,3,49.90
2024-01-07,Sabates,Moda,4,59.90
2024-02-14,Gorra,Moda,5,9.90
2024-03-30,Mitjons,Moda,10,4.90